Time: 2017-08-03 13:08:49.217861  <bound method aiml_file.get_path of <aiml_file: ./denormal.substitution>>
Time: 2017-08-03 13:10:16.483950  <bound method aiml_file.get_path of <aiml_file: ./denormal.substitution>>
Time: 2017-08-03 13:14:27.856128  <bound method aiml_file.get_path of <aiml_file: ./denormal.substitution>>
Time: 2017-08-03 13:17:52.674075  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:08:26.368605  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-03 14:11:43.879823  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-03 14:11:44.186910  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal.substitution
Time: 2017-08-03 14:11:44.251897  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial.aiml
Time: 2017-08-03 14:11:44.278134  /home/teacherdev/public_html/tb_development/teacherbot/files/./person.substitution
Time: 2017-08-03 14:11:44.303707  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2.substitution
Time: 2017-08-03 14:11:44.381212  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender.substitution
Time: 2017-08-03 14:11:44.401843  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn.aiml
Time: 2017-08-03 14:17:39.760110  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe(v1).properties
Time: 2017-08-03 14:18:13.686584  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v1).substitution
Time: 2017-08-03 14:18:25.996898  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v1).aiml
Time: 2017-08-03 14:18:33.688125  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v1).substitution
Time: 2017-08-03 14:18:34.067747  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2(v1).substitution
Time: 2017-08-03 14:18:34.160442  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender(v1).substitution
Time: 2017-08-03 14:18:34.199844  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn(v1).aiml
Time: 2017-08-03 14:21:27.529858  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-03 14:21:35.857184  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:21:38.238217  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal.substitution
Time: 2017-08-03 14:21:40.514730  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial.aiml
Time: 2017-08-03 14:22:01.907660  /home/teacherdev/public_html/tb_development/teacherbot/files/./person.substitution
Time: 2017-08-03 14:22:47.656883  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2.substitution
Time: 2017-08-03 14:22:49.286848  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender.substitution
Time: 2017-08-03 14:22:53.942924  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn.aiml
Time: 2017-08-03 14:28:46.238142  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-03 14:29:54.324736  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:29:55.202290  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal.substitution
Time: 2017-08-03 14:32:50.166367  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v1).substitution
Time: 2017-08-03 14:32:53.195087  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:32:53.881636  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v1).substitution
Time: 2017-08-03 14:32:54.471687  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v2).aiml
Time: 2017-08-03 14:32:55.708767  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v2).substitution
Time: 2017-08-03 14:32:56.495299  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2(v2).substitution
Time: 2017-08-03 14:32:57.274085  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender(v2).substitution
Time: 2017-08-03 14:32:57.877234  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn(v2).aiml
Time: 2017-08-03 14:36:20.968092  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v1).substitution
Time: 2017-08-03 14:39:35.495368  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:40:00.793748  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v1).substitution
Time: 2017-08-03 14:45:13.730874  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v1).substitution
Time: 2017-08-03 14:45:59.280969  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:46:03.339217  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v1).substitution
Time: 2017-08-03 14:46:04.669442  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v3).aiml
Time: 2017-08-03 14:46:05.748628  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v3).substitution
Time: 2017-08-03 14:51:50.480433  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v1).substitution
Time: 2017-08-03 14:53:31.073970  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 14:58:47.465766  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v1).substitution
Time: 2017-08-03 15:00:13.735257  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v3).aiml
Time: 2017-08-03 15:02:32.162159  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v3).substitution
Time: 2017-08-03 15:05:46.807087  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2(v4).substitution
Time: 2017-08-03 15:12:11.432576  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender(v4).substitution
Time: 2017-08-03 15:16:09.887590  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn(v4).aiml
Time: 2017-08-03 15:18:59.099697  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-03 15:19:25.672157  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 15:20:36.859820  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal.substitution
Time: 2017-08-03 15:20:37.757357  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial.aiml
Time: 2017-08-03 15:20:38.634873  /home/teacherdev/public_html/tb_development/teacherbot/files/./person.substitution
Time: 2017-08-03 15:20:39.411844  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2.substitution
Time: 2017-08-03 15:20:40.289466  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender.substitution
Time: 2017-08-03 15:20:41.216388  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn.aiml
Time: 2017-08-03 15:20:42.136757  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v1).substitution
Time: 2017-08-03 15:20:43.776585  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-03 15:20:44.811708  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v1).substitution
Time: 2017-08-03 15:20:45.575444  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v3).aiml
Time: 2017-08-03 15:20:46.191547  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v3).substitution
Time: 2017-08-03 15:20:47.751309  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2(v4).substitution
Time: 2017-08-03 15:20:49.117686  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender(v4).substitution
Time: 2017-08-03 15:20:50.385346  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn(v4).aiml
Time: 2017-08-04 07:43:08.262296  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-04 07:43:20.351063  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe.properties
Time: 2017-08-04 07:44:14.236125  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal.substitution
Time: 2017-08-04 07:45:19.738242  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial.aiml
Time: 2017-08-04 07:45:29.434637  /home/teacherdev/public_html/tb_development/teacherbot/files/./person.substitution
Time: 2017-08-04 07:45:34.505805  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2.substitution
Time: 2017-08-04 07:45:37.702124  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender.substitution
Time: 2017-08-04 07:45:42.208157  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn.aiml
Time: 2017-08-04 07:45:54.787949  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal.substitution
Time: 2017-08-04 07:45:58.740906  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal.substitution
Time: 2017-08-04 07:46:02.835719  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatmanjoe.properties
Time: 2017-08-04 07:46:05.506807  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial.aiml
Time: 2017-08-04 07:46:45.564899  /home/teacherdev/public_html/tb_development/teacherbot/files/./person.substitution
Time: 2017-08-04 07:46:51.329441  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2.substitution
Time: 2017-08-04 07:46:55.973580  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender.substitution
Time: 2017-08-04 07:46:57.997271  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn.aiml
Time: 2017-08-04 08:00:43.362971  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v2).substitution
Time: 2017-08-04 08:00:49.259637  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v2).substitution
Time: 2017-08-04 08:00:51.456387  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatmanjoe.properties
Time: 2017-08-04 08:00:52.769840  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v2).aiml
Time: 2017-08-04 08:00:59.158935  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v2).substitution
Time: 2017-08-04 08:01:00.351523  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2(v2).substitution
Time: 2017-08-04 08:01:06.030821  /home/teacherdev/public_html/tb_development/teacherbot/files/./gender(v2).substitution
Time: 2017-08-04 08:01:10.621610  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_learn(v2).aiml
Time: 2017-08-04 08:04:34.447059  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v2).substitution
Time: 2017-08-04 08:04:52.046281  /home/teacherdev/public_html/tb_development/teacherbot/files/./chatbotjoe(v2).properties
Time: 2017-08-04 08:06:13.387146  /home/teacherdev/public_html/tb_development/teacherbot/files/./normal(v2).substitution
Time: 2017-08-04 08:06:17.124781  /home/teacherdev/public_html/tb_development/teacherbot/files/./pand_initial(v2).aiml
Time: 2017-08-04 08:06:21.825249  /home/teacherdev/public_html/tb_development/teacherbot/files/./person(v2).substitution
Time: 2017-08-04 08:07:08.449197  /home/teacherdev/public_html/tb_development/teacherbot/files/./person2(v2).substitution
Time: 2017-08-04 08:11:26.740781  /home/teacherdev/public_html/tb_development/teacherbot/files/./denormal(v2).substitution
